date,wd,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D
2019-02-11,(一),25472.0,25472.0,24462.0,24462.0,24127.0,14.0,335.0,6455.0,13152.0,4350.0,668.0,6.0,60.0,88.0,16.0,123.79,123.79,123.14,123.14,123.6,70.45,89.48,107.94,124.62,142.1,164.64,161.66,163.9,169.61,160.88,61.49,61.49,61.88,61.88,61.96,0.0,0.08,45.93,54.23,61.65,62.28,61.5,58.31,66.8,60.81,58.41,71.12
2019-02-12,(二),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-13,(三),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,(四),22899.0,22806.0,22037.0,22037.0,21681.0,23.0,356.0,5303.0,12021.0,4198.0,595.0,6.0,54.0,78.0,21.0,124.44,124.51,123.77,123.77,124.35,66.83,88.9,108.05,124.78,142.12,164.0,159.08,167.0,166.12,163.05,65.13,65.05,65.4,65.39,65.48,-0.01,0.08,37.13,58.5,65.35,65.45,65.39,66.83,52.84,73.34,73.75,64.37
2019-02-15,(五),25926.0,25926.0,25006.0,25006.0,24630.0,19.0,376.0,5812.0,13714.0,4925.0,619.0,2.0,88.0,68.0,21.0,124.75,124.75,124.09,124.09,124.62,66.06,89.22,108.17,124.77,142.16,164.69,162.0,164.2,167.56,162.24,65.94,65.94,66.27,66.27,66.34,0.0,0.07,33.37,59.64,65.48,66.47,66.49,66.28,59.21,74.66,77.04,62.01
2019-02-16,(六),19632.0,19540.0,18993.0,18993.0,18537.0,10.0,456.0,4764.0,10352.0,3227.0,434.0,4.0,94.0,87.0,9.0,123.52,123.52,123.02,123.02,123.85,67.95,89.07,108.03,124.68,142.03,165.09,167.87,167.7,163.76,161.56,71.75,71.77,71.94,71.94,72.13,0.0,0.19,35.74,60.97,70.07,72.31,73.37,78.31,60.23,85.35,76.7,72.38
2019-02-17,(日),9927.0,9927.0,9714.0,9714.0,9518.0,6.0,196.0,2560.0,5244.0,1525.0,239.0,17.0,0.0,153.0,19.0,123.36,123.36,123.18,123.18,123.89,68.83,88.92,108.29,124.72,141.91,165.56,160.7,0.0,168.02,160.89,68.32,68.32,68.61,68.61,68.71,0.0,0.1,43.85,62.13,68.62,68.8,68.41,67.92,73.96,0.0,68.7,74.55
2019-02-18,(一),25583.0,25475.0,24644.0,24644.0,24257.0,14.0,387.0,5635.0,13620.0,4833.0,618.0,11.0,88.0,51.0,19.0,124.83,124.84,124.11,124.11,124.67,64.41,89.13,108.3,124.78,142.09,165.13,164.77,164.7,162.27,163.26,67.72,67.71,68.02,68.02,68.11,0.0,0.09,31.72,60.66,67.15,68.32,68.28,68.12,78.42,75.91,62.66,72.13
2019-02-19,(二),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-20,(三),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-21,(四),25352.0,25271.0,24255.0,24255.0,23778.0,27.0,477.0,5527.0,12979.0,5123.0,732.0,0.0,75.0,74.0,0.0,125.07,125.13,124.24,124.24,124.94,67.55,89.35,108.04,124.91,142.07,164.57,0.0,163.7,166.99,0.0,66.65,66.61,67.0,67.0,67.12,0.0,0.12,31.54,58.72,66.75,67.16,67.1,67.91,0.0,71.52,75.73,0.0
2019-02-22,(五),26067.0,26067.0,25009.0,25009.0,24516.0,19.0,493.0,5852.0,13277.0,5170.0,773.0,0.0,64.0,153.0,0.0,125.1,125.1,124.19,124.19,124.9,69.91,89.06,108.0,124.94,142.11,165.95,0.0,162.3,170.5,0.0,65.3,65.3,65.6,65.6,65.7,0.0,0.1,38.97,58.41,64.85,65.78,65.95,67.21,0.0,70.37,72.61,0.0
2019-02-23,(六),18459.0,18373.0,17749.0,17749.0,17405.0,17.0,344.0,4421.0,9459.0,3294.0,548.0,0.0,115.0,103.0,13.0,124.56,124.57,123.71,123.71,124.39,67.43,89.13,108.21,124.71,142.07,166.84,0.0,171.8,167.0,159.92,65.57,65.56,65.82,65.82,65.93,0.0,0.11,37.58,58.15,64.83,66.35,66.17,66.34,0.0,62.99,64.61,67.5
